Compound Name,Compound Conc,% Inhibition 1,% Inhibition 2,% Inhibition Avg
Drug 1,10000,70,71,70
Drug 1,3000,61,59,60
Drug 1,1000,42,44,43
Drug 1,300,25,24,24
Drug 1,100,9,10,10
Drug 2,10000,79,78,79
Drug 2,3000,53,53,53
Drug 2,1000,39,37,38
Drug 2,300,21,23,22
Drug 2,100,6,8,7
Drug 3,10000,63,65,64
Drug 3,3000,42,42,42
Drug 3,1000,30,29,30
Drug 3,300,16,17,17
Drug 3,100,6,10,8
Drug 4,10000,79,79,79
Drug 4,3000,48,45,47
Drug 4,1000,36,37,37
Drug 4,300,17,19,18
Drug 4,100,4,9,6
